INFO 2026-04-06 22:45:42,942 log "GET /api/inventory/suppliers/?page=1&page_size=7 HTTP/1.1" 200 1292
INFO 2026-04-06 22:45:46,825 log "OPTIONS /api/inventory/departments/ HTTP/1.1" 200 0
INFO 2026-04-06 22:45:46,828 log "OPTIONS /api/inventory/raw-materials/?page=1&page_size=11 HTTP/1.1" 200 0
INFO 2026-04-06 22:45:46,831 log "OPTIONS /api/inventory/departments/ HTTP/1.1" 200 0
INFO 2026-04-06 22:45:46,831 log "OPTIONS /api/inventory/raw-materials/?page=1&page_size=11 HTTP/1.1" 200 0
INFO 2026-04-06 22:45:46,896 log "GET /api/inventory/departments/ HTTP/1.1" 200 995
INFO 2026-04-06 22:45:46,914 log "GET /api/inventory/departments/ HTTP/1.1" 200 995
INFO 2026-04-06 22:45:46,971 log "GET /api/inventory/raw-materials/?page=1&page_size=11 HTTP/1.1" 200 2306
INFO 2026-04-06 22:45:47,064 log "GET /api/inventory/raw-materials/?page=1&page_size=11 HTTP/1.1" 200 2306
INFO 2026-04-06 22:45:53,868 log "OPTIONS /api/inventory/departments/?page=1&page_size=5 HTTP/1.1" 200 0
INFO 2026-04-06 22:45:53,868 log "OPTIONS /api/inventory/departments/?page=1&page_size=5 HTTP/1.1" 200 0
INFO 2026-04-06 22:45:53,922 log "GET /api/inventory/departments/?page=1&page_size=5 HTTP/1.1" 200 694
INFO 2026-04-06 22:45:53,970 log "GET /api/inventory/departments/?page=1&page_size=5 HTTP/1.1" 200 694
INFO 2026-04-06 22:45:56,327 log "GET /api/inventory/departments/ HTTP/1.1" 200 995
INFO 2026-04-06 22:45:56,350 log "GET /api/inventory/departments/ HTTP/1.1" 200 995
INFO 2026-04-06 22:45:56,356 log "GET /api/inventory/raw-materials/?page=1&page_size=11 HTTP/1.1" 200 2306
INFO 2026-04-06 22:45:56,420 log "GET /api/inventory/raw-materials/?page=1&page_size=11 HTTP/1.1" 200 2306
INFO 2026-04-06 22:46:04,045 log "GET /api/inventory/suppliers/?page=1&page_size=7 HTTP/1.1" 200 1292
INFO 2026-04-06 22:46:04,060 log "GET /api/inventory/suppliers/?page=1&page_size=7 HTTP/1.1" 200 1292
INFO 2026-04-06 22:58:51,206 autoreload C:\Users\ADMIN\Desktop\anti_gravity\anti\backend\core\settings.py changed, reloading.
INFO 2026-04-06 22:58:52,266 autoreload Watching for file changes with StatReloader
WARNING 2026-04-06 23:05:25,745 log Unauthorized: /api/inventory/suppliers/
